"cluster","vd","capac_prod","prac_empre","abs_ih","prop_calif","gest_rrhh","orga_tec","prop_capac","vinc_inst","d_especinsum","d_especproce","d_trazabilidad","d_problemas","d_mejoracont","d_diseno","d_deptoid","d_montcomp","d_montec","prop_prof","prop_tec","d_rrhhdto","d_perffor","d_evaldes","d_sistemas","d_sapoydec","d_softgest","capacit_nojer","capacit_ger","capacit_sup","d_vincpub","d_vincfir","d_vincase","tam_mue","k_inac","rama_act","exporta","innovo","ing","dai","did","empleo","tc.va.tr","tc.empleo","tc.ventas"
"4",FALSE,3,2,1,2.40859451803957,1,2,40,3,1,1,1,1,1,0,0,0,1,4.55128342226855,0.265905613810585,1,0,0,1,0,1,70,0,50,1,1,1,"Grande",0,"Alimentos",0,0,294457143.456807,1,0,NA,101.04894751036,NA,38.4948898413027
"4",FALSE,3,3,1,16.0994313964358,3,3,33.3333333333333,2,1,1,1,1,1,1,0,1,1,17.8418529678423,14.3570098250294,1,1,1,1,1,1,50,10,40,0,1,1,"Grande",0,"Confecciones",0,1,294457143.456807,1,0,NA,33.3640750682531,NA,38.4948898413027
"4",TRUE,3,3,2,17.0490571005873,3,3,80,3,1,1,1,1,1,1,0,1,1,14.9333681981232,19.1647460030515,1,1,1,1,1,1,91,55,94,1,1,1,"Grande",1,"Otros minerales no metalicos",0,1,294457143.456807,1,1,NA,120.936412184479,NA,38.4948898413027
"4",TRUE,3,3,3,15.709365972734,2,3,80,3,1,1,1,1,1,1,1,1,1,11.2249432407052,20.1937887047628,1,1,0,1,1,1,60,90,90,1,1,1,"Grande",0,"Otros productos de metal",1,1,294457143.456807,1,0,NA,26.2128439959019,NA,38.4948898413027
"4",FALSE,3,3,2,12.3919205107215,3,3,100,2,1,1,1,1,1,1,1,0,1,7.97294120998494,16.8108998114581,1,1,1,1,1,1,100,100,100,0,1,1,"Grande",0,"Material electrico, radio, television",0,1,294457143.456807,1,0,NA,-68.8752330105157,NA,38.4948898413027
"4",FALSE,3,3,3,5.73441732657989,3,3,92,2,1,1,1,1,1,1,1,1,1,6.08188459773552,5.38695005542426,1,1,1,1,1,1,100,91,85,1,0,1,"Grande",0,"Frigorificos",1,1,294457143.456807,1,0,NA,2.64141168151427,NA,38.4948898413027
"4",TRUE,3,3,3,27.3472287120815,3,2,100,3,1,1,1,1,1,1,1,1,1,21.0761164412242,33.6183409829389,1,1,1,1,0,1,100,100,100,1,1,1,"Grande",1,"Farmaceuticas",1,0,294457143.456807,1,1,NA,42.8362196599969,NA,38.4948898413027
"3",FALSE,3,2,1,14.9786677356104,3,2,10,1,1,1,1,1,0,1,0,1,1,9.33455143204283,20.622784039178,1,1,1,0,1,1,10,10,10,0,0,1,"Grande",1,"Farmaceuticas",1,1,50829091.1052872,1,0,139,-29.6840988639848,7.40740740740741,17.4898040152947
"4",FALSE,3,3,2,4.9775828460039,2,3,36.6666666666667,1,1,1,1,1,1,1,0,1,1,6.97243107769423,2.98273461431356,1,1,0,1,1,1,30,30,50,1,0,0,"Grande",0,"Confecciones",1,1,67542846.777037,1,0,296.666666666667,47.7635134595297,15.3655514250308,56.1707005946526
"4",TRUE,3,3,2,19.1615232763759,3,2,60,1,1,1,1,1,1,1,0,1,1,24.0820843727089,14.2409621800428,1,1,1,1,0,1,100,30,50,0,0,1,"Grande",1,"Vinos y otras bebidas fermentadas",1,1,244121671.30539,1,1,NA,45.5909176323939,NA,-23.6289275862059
"4",FALSE,3,1,2,13.0870538390823,3,2,33.3333333333333,2,1,1,1,1,0,0,1,0,1,18.4732936301744,7.70081404799019,1,1,1,1,0,1,40,20,40,0,1,1,"Grande",0,"Farmaceuticas",1,0,166400413.619675,1,0,NA,73.6143584145677,NA,-43.5624283760279
"3",TRUE,3,3,2,24.0703910244585,3,1,0,1,1,1,1,1,1,1,0,1,1,48.1407820489171,0,1,1,1,0,0,1,0,0,0,0,1,0,"Grande",1,"Vinos y otras bebidas fermentadas",1,1,44846599.3528034,1,1,152.666666666667,16.9649022862864,-11.2426035502959,36.4922659275517
"4",FALSE,3,3,3,27.1185530145392,3,2,33.3333333333333,3,1,1,1,1,1,1,1,1,1,36.7669618648427,17.4701441642357,1,1,1,1,0,1,50,20,30,1,1,1,"Grande",0,"Material electrico, radio, television",1,1,294457143.456807,1,0,NA,NA,NA,38.4948898413027
